codeCIS;codeCIP7
60744612;5535125
60744612;5557977
60744612;5557983
60744612;5754206
60744612;5754560
60745696;3614352
60747099;3412594
60747455;3588175
60747455;3722455
60747996;3326618
60747996;3326624
60747996;3326630
60748062;3674526
60748151;5609987
60748767;3020822
60748831;3917532
60749100;3634805
60752908;3344993
60754332;3941625
60754492;3011879
60754492;3971796
60754492;3971810
60754528;2770914
60754631;3021041
60754738;4962173
60754738;4962210
60755263;3902016
60755562;3646837
60755562;3646843
60756034;3416474
60756600;3077144
60756917;3615541
60757264;3745858
60757264;3745864
60759607;3733447
60759607;3867610
60759678;3004065
60759685;2664402
60759685;2664419
60759938;5562777
60761704;3008514
60761704;3008515
60762795;3691068
60762795;3691105
60762795;3691163
60763655;4900185
60763961;3241862
60764223;3013689
60764223;3013690
60764337;3823274
60765503;3321851
60765898;3023333
60766498;3015639
60766975;3988526
60767155;3878341
60770621;3003805
60771794;5610950
60772273;4900072
60772273;4900073
60772526;3483890
60772526;3483921
60774228;3750032
60774228;3750055
60774438;2765770
60774598;3748087
60774598;3749282
60774655;3327173
60774655;3465018
60774865;2782774
60774947;3824581
60776617;3525105
60779182;3652080
60779773;5856734
60780754;3741978
60780754;3741984
60781361;2799929
60781361;2799935
60781984;3022276
60782303;3646866
60782303;3646872
60782552;3406582
60782890;3826918
60783533;3767707
60784674;3031254
60785331;3011071
60785331;3011072
60785331;3011073
60785331;3011074
60786337;3805810
60786390;3016507
60786892;2218358
60786892;4939719
60787542;3767305
60787542;3767311
60787542;3767328
60788078;2749943
60789276;5660445
60789290;4921889
60789511;3015484
60789543;3000823
60789970;3907427
60789970;3907456
60789970;3907485
60789970;3907516
60790467;3022253
60791099;4945246
60791672;3670304
60791672;3729049
60791708;3002039
60791754;2685798
60793029;3811704
60793029;3811710
60793029;3811727
60793381;3832899
60795076;3015664
60795400;3002992
60796281;5661924
60796566;3016920
60796566;3016922
60797287;3544427
60797376;3338685
60797807;5501659
60798510;3517689
60798567;3005328
60798791;3010178
60798791;3010179
60799637;3775397
60801458;5759787
60803021;3188091
60803434;3013841
60803822;3780317
